0.0000	-0.0020
0.1396	0.1796
0.2793	0.2866
0.4189	0.4185
0.5585	0.5659
0.6981	0.6733
0.8378	0.7508
0.9774	0.7973
1.1170	0.8728
1.2566	0.9897
1.3963	0.9377
1.5359	0.9984
1.6755	0.9613
1.8151	1.0182
1.9548	0.9485
2.0944	0.8661
2.2340	0.7851
2.3736	0.6506
2.5133	0.6060
2.6529	0.4237
2.7925	0.2992
2.9322	0.2101
3.0718	0.0294
3.2114	-0.0379
3.3510	-0.1762
3.4907	-0.3198
3.6303	-0.5045
3.7699	-0.5718
3.9095	-0.6928
4.0492	-0.7407
4.1888	-0.8511
4.3284	-0.8972
4.4680	-0.9749
4.6077	-1.0013
4.7473	-0.9669
4.8869	-1.0265
5.0265	-0.9877
5.1662	-0.9315
5.3058	-0.8399
5.4454	-0.7100
5.5851	-0.6125
5.7247	-0.5739
5.8643	-0.4168
6.0039	-0.2729
6.1436	-0.1475
6.2832	0.0157
6.4228	0.1520
6.5624	0.2548
6.7021	0.3999
6.8417	0.4815
6.9813	0.6912
7.1209	0.7099
7.2606	0.7897
7.4002	0.8860
7.5398	0.9209
7.6794	0.9838
7.8191	0.9833
7.9587	1.0397
8.0983	1.0123
8.2380	0.8825
8.3776	0.8898
8.5172	0.7649
8.6568	0.6869
8.7965	0.5926
8.9361	0.5137
9.0757	0.3338
9.2153	0.2562
9.3550	0.0499
9.4946	-0.0496
9.6342	-0.1913
9.7738	-0.3381
9.9135	-0.4497
10.0531	-0.5711
10.1927	-0.7268
10.3323	-0.8252
10.4720	-0.8161
10.6116	-0.9601
10.7512	-1.0170
10.8909	-0.9884
11.0305	-0.9612
11.1701	-0.9679
11.3097	-0.9820
11.4494	-0.9119
11.5890	-0.8330
11.7286	-0.6950
11.8682	-0.6771
12.0079	-0.4944
12.1475	-0.3923
12.2871	-0.2880
12.4267	-0.1701
12.5664	-0.0072
12.7060	0.1374
12.8456	0.2377
12.9852	0.4157
13.1249	0.5025
13.2645	0.6312
13.4041	0.7514
13.5438	0.8042
13.6834	0.8778
13.8230	0.9628
13.9626	0.9613
14.1023	1.0318
14.2419	1.0428
14.3815	0.9933
14.5211	0.9116
14.6608	0.8744
14.8004	0.7488
14.9400	0.7353
15.0796	0.6258
15.2193	0.5012
15.3589	0.3181
15.4985	0.2173
15.6382	0.0220
15.7778	-0.0772
15.9174	-0.2266
16.0570	-0.3759
16.1967	-0.5016
16.3363	-0.5955
16.4759	-0.7352
16.6155	-0.7782
16.7552	-0.8689
16.8948	-0.9076
17.0344	-0.9503
17.1740	-0.9807
17.3137	-1.0460
17.4533	-1.0279
17.5929	-0.9691
17.7325	-0.8957
17.8722	-0.8136
18.0118	-0.7524
18.1514	-0.6108
18.2911	-0.5081
18.4307	-0.3599
18.5703	-0.2725
18.7099	-0.1567
18.8496	-0.0394
